book name,author,year of publish,publisher
The Red Badge of Courage,Stephen Crane,1895,D. Appleton and Company
The Adventures of Huckleberry Finn,Mark Twain,1884,Charles L. Webster and Company
The Call of the Wild,Jack London,1903,The Macmillan Company
The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage
Rebecca,Daphne du Maurier,1938,Victor Gollancz
The Alchemist,Paulo Coelho,1988,HarperCollins
The Kite Runner,Khaled Hosseini,2003,Riverhead Books
Life of Pi,Yann Martel,2001,Knopf Canada
The Da Vinci Code,Dan Brown,2003,Doubleday
A Tale of Two Cities,Charles Dickens,1859,Chapman & Hall
Great Expectations,Charles Dickens,1861,Chapman & Hall
Oliver Twist,Charles Dickens,1838,Richard Bentley
David Copperfield,Charles Dickens,1850,Bradbury and Evans
The Harry Potter series,J.K. Rowling,1997-2007,Bloomsbury
The Hunger Games series,Suzanne Collins,2008-2010,Scholastic Press
The Twilight series,Stephenie Meyer,2005-2008,Little Brown and Company
The Fault in Our Stars,John Green,2012,Dutton Books
The Selection series,Kiera Cass,2012-2014,HarperTeen
The Maze Runner series,James Dashner,2009-2011,Delacorte Press
The Percy Jackson series,Rick Riordan,2005-2009,Disney-Hyperion
The Inheritance Cycle,Christopher Paolini,2002-2011,Knopf Books for Young Readers
The Chronicles of Narnia series,C.S. Lewis,1950-1956,The Bodley Head
The Wheel of Time series,Robert Jordan,1990-2013,Tor Books
The Game of Thrones series,George R.R. Martin,1996-2011,Bantam Books
The Song of Ice and Fire series,George R.R. Martin,1996-2011,Bantam Books
The Lord of the Rings series,J.R.R. Tolkien,1954-1955,George Allen & Unwin
The Hobbit,J.R.R. Tolkien,1937,George Allen & Unwin
The Earthsea series,Ursula K. Le Guin,1968-2001,Atheneum Books for Young Readers
The Dark Tower series,Stephen King,1982-2012,Grant
The Shining,Stephen King,1977,Doubleday
The Stand,Stephen King,1978,Doubleday
The IT,Stephen King,1986,Viking Press
The Cats of Ulthar,H.P. Lovecraft,1920,Tryout
The Call of Cthulhu,H.P. Lovecraft,1928,Weird Tales
The Color Out of Space,H.P. Lovecraft,1927,Amazing Stories
The Dunwich Horror,H.P. Lovecraft,1929,Weird Tales
The Shadow Over Innsmouth,H.P. Lovecraft,1931,Weird Tales
The Shadow Out of Time,H.P. Lovecraft,1936,Astounding Stories
At the Mountains of Madness, H.P. Lovecraft,1936,Astounding Stories
The Case of Charles Dexter Ward, H.P. Lovecraft,1941,Arkham House
The Tale of the Body Thief,Anne Rice,1992,Knopf
The Witching Hour,Anne Rice,1990,Knopf
The Mummy,Anne Rice,1989,Knopf
The Queen of the Damned,Anne Rice,1988,Knopf
Interview with the Vampire,Anne Rice,1976,Alfred A. Knopf
At the Mountains of Madness,H.P. Lovecraft,1936,Astounding Stories
The Case of Charles Dexter Ward,H.P. Lovecraft,1941,Arkham House
